claim_type,claim_amount,fraudulent,coverage,deductible,townsize,gender,edcat,job_start_date,retire,income,marital
Water damage,6.968,No,78,1000,"< 2,500",Female,College degree,3/10/08,No,18,Married
Wind/Hail,25.639,No,749,3000,"10,000-49,999",Male,Did not complete high school,12/29/87,No,103,Married
Theft/Vandalism,18.837,No,336,3000,"50,000-249,999",Male,Some college,12/21/01,No,64,Married
Fire/Smoke,64.536,No,152,3000,"2,500-9,999",Male,College degree,7/20/08,No,72,Unmarried
Theft/Vandalism,13.519,No,196,1000,"2,500-9,999",Female,High school degree,4/2/08,No,15,Unmarried
Theft/Vandalism,9.891,No,245,1000,"50,000-249,999",Male,High school degree,9/25/07,No,30,Married
Wind/Hail,9.387,No,145,1000,"50,000-249,999",Female,Some college,9/29/00,Yes,11,Unmarried
Theft/Vandalism,3.326,No,133,2000,"2,500-9,999",Female,High school degree,1/1/04,No,36,Married
Theft/Vandalism,78.671,No,512,2000,"50,000-249,999",Female,High school degree,10/7/05,No,30,Unmarried
Contamination,51.821,No,134,3000,"> 250,000",Female,College degree,8/1/03,No,92,Unmarried
Fire/Smoke,48.055,No,100,500,"10,000-49,999",Female,Did not complete high school,8/22/71,Yes,23,Married
Wind/Hail,18.841,No,378,3000,"2,500-9,999",Male,Some college,10/13/02,No,24,Unmarried
Water damage,117.966,No,408,3000,"2,500-9,999",Male,Post-undergraduate degree,9/23/94,No,80,Unmarried
Theft/Vandalism,12.99165,Yes,172,500,"50,000-249,999",Male,High school degree,7/11/08,No,26,Married
Contamination,306,No,306,3000,"50,000-249,999",Male,High school degree,11/30/02,No,36,Married
Fire/Smoke,62.98215,Yes,175,1000,"> 250,000",Male,Some college,1/11/95,No,86,Married
Fire/Smoke,84.247,No,179,1000,"2,500-9,999",Female,Some college,10/7/07,No,22,Unmarried
Fire/Smoke,104.681,No,292,1000,"2,500-9,999",Female,College degree,11/1/07,No,38,Married
Wind/Hail,10.533,No,143,500,"2,500-9,999",Male,Did not complete high school,1/9/05,Yes,14,Married
Theft/Vandalism,19.828,No,409,2000,"< 2,500",Female,High school degree,10/8/98,No,38,Married
Wind/Hail,6.073,No,179,1000,"> 250,000",Male,Some college,6/13/99,No,57,Unmarried
Fire/Smoke,478.384,No,1221,1000,"50,000-249,999",Female,High school degree,2/18/82,No,135,Married
Theft/Vandalism,2.315,No,83,1000,"50,000-249,999",Male,High school degree,3/31/06,No,28,Unmarried
Theft/Vandalism,4.4,No,57,500,"10,000-49,999",Male,High school degree,5/28/02,Yes,17,Married
Wind/Hail,4.6599,Yes,130,1000,"10,000-49,999",Male,Did not complete high school,1/27/92,No,72,Unmarried
Fire/Smoke,82.644,No,216,1000,"10,000-49,999",Female,College degree,2/28/08,No,31,Married
Contamination,226.496,No,582,3000,"2,500-9,999",Male,High school degree,6/2/79,Yes,82,Married
Fire/Smoke,96,No,96,3000,"< 2,500",Male,College degree,11/28/08,No,22,Unmarried
Theft/Vandalism,17.793,No,177,500,"50,000-249,999",Female,College degree,9/16/95,No,80,Married
Fire/Smoke,85,Yes,85,3000,"2,500-9,999",Female,High school degree,1/3/08,No,22,Married
Wind/Hail,10.642,No,184,2000,"> 250,000",Male,High school degree,8/9/02,No,37,Unmarried
Theft/Vandalism,2.73105,Yes,165,2000,"> 250,000",Female,High school degree,9/27/06,No,32,Married
Contamination,124.74,No,297,1000,"> 250,000",Female,College degree,3/17/08,No,89,Married
Wind/Hail,2.872,No,78,1000,"50,000-249,999",Male,College degree,10/7/90,Yes,39,Married
Fire/Smoke,71.642,No,182,1000,"2,500-9,999",Male,College degree,9/18/00,No,87,Married
Contamination,1432,No,1432,3000,"10,000-49,999",Female,Some college,8/18/80,No,149,Unmarried
Theft/Vandalism,158.128,No,1051,3000,"> 250,000",Female,Some college,11/21/94,No,83,Unmarried
Theft/Vandalism,29.302,No,596,1000,"50,000-249,999",Female,Some college,8/9/93,No,130,Married
Wind/Hail,26.348,No,515,3000,"2,500-9,999",Female,Post-undergraduate degree,5/11/07,No,78,Married
Theft/Vandalism,3.934,No,115,1000,"10,000-49,999",Female,Some college,10/2/07,No,27,Married
Wind/Hail,42.112,No,926,1000,"50,000-249,999",Female,College degree,2/21/99,No,138,Married
Fire/Smoke,35.341,No,85,1000,"> 250,000",Male,College degree,12/16/08,No,29,Married
Theft/Vandalism,22.436,No,446,3000,"10,000-49,999",Female,High school degree,6/8/01,No,31,Unmarried
Theft/Vandalism,46.821,No,915,3000,"2,500-9,999",Male,College degree,7/29/01,No,141,Married
Wind/Hail,29.817,No,492,3000,"50,000-249,999",Male,Some college,12/27/00,No,82,Married
Contamination,190,No,190,1000,"10,000-49,999",Male,Some college,12/7/06,No,131,Married
Fire/Smoke,424,Yes,424,2000,"< 2,500",Male,College degree,10/20/05,No,21,Unmarried
Theft/Vandalism,4.487,No,73,1000,"10,000-49,999",Female,High school degree,12/29/08,No,22,Married
Contamination,54.029,No,130,1000,"50,000-249,999",Female,College degree,4/29/02,No,25,Married
Theft/Vandalism,4.683,Yes,95,1000,"2,500-9,999",Female,High school degree,4/28/07,No,15,Married
Theft/Vandalism,6.3504,Yes,120,1000,"10,000-49,999",Male,Some college,10/2/04,No,19,Married
Fire/Smoke,444.308,No,1111,1000,"> 250,000",Male,High school degree,4/9/82,No,105,Married
Wind/Hail,165.1566,Yes,1064,2000,"50,000-249,999",Male,College degree,1/7/07,No,76,Unmarried
Theft/Vandalism,7.3,No,267,1000,"> 250,000",Male,College degree,3/9/05,No,41,Married
Fire/Smoke,72.197,No,200,3000,"2,500-9,999",Female,College degree,11/15/08,No,29,Married
Fire/Smoke,78,No,78,3000,"< 2,500",Female,Did not complete high school,1/13/99,No,30,Unmarried
Wind/Hail,19.213,No,374,1000,"2,500-9,999",Female,High school degree,6/4/01,No,28,Married
Contamination,36.986,No,82,2000,"> 250,000",Male,College degree,9/4/05,No,38,Unmarried
Theft/Vandalism,31.941,No,561,2000,"> 250,000",Female,High school degree,7/21/89,No,109,Married
Theft/Vandalism,25.872,No,367,3000,"10,000-49,999",Female,High school degree,2/13/87,No,95,Unmarried
Wind/Hail,8.743,No,192,3000,"50,000-249,999",Female,Some college,1/21/96,No,183,Unmarried
Wind/Hail,2.714,No,123,500,"> 250,000",Male,High school degree,1/6/04,No,62,Unmarried
Wind/Hail,13.87,No,402,1000,"10,000-49,999",Male,Did not complete high school,9/5/04,No,32,Unmarried
Water damage,114.923,No,1129,3000,"2,500-9,999",Male,Did not complete high school,5/26/75,No,250,Married
Fire/Smoke,49.855,No,93,3000,"2,500-9,999",Male,Did not complete high school,4/15/02,Yes,15,Married
Wind/Hail,57.8319,Yes,1028,1000,"> 250,000",Male,Post-undergraduate degree,7/17/07,No,92,Married
Wind/Hail,53.654,No,1077,3000,"> 250,000",Female,College degree,3/28/82,No,195,Married
Theft/Vandalism,8.571,No,175,1000,"> 250,000",Female,Some college,4/15/08,No,13,Married
Theft/Vandalism,3.307,No,59,500,"< 2,500",Female,College degree,5/2/07,No,24,Married
Theft/Vandalism,7.394,No,145,2000,"> 250,000",Female,Did not complete high school,7/28/98,No,67,Married
Fire/Smoke,105,No,105,1000,"2,500-9,999",Male,High school degree,10/15/07,No,28,Unmarried
Wind/Hail,71.837,No,1088,3000,"< 2,500",Male,College degree,9/23/65,Yes,147,Married
Water damage,111.244,No,1000,3000,"10,000-49,999",Male,Some college,12/10/01,No,66,Married
Wind/Hail,60.962,No,1080,3000,"2,500-9,999",Male,High school degree,3/4/92,No,151,Married
Theft/Vandalism,8.752,No,262,3000,"10,000-49,999",Female,Did not complete high school,3/9/02,No,55,Married
Fire/Smoke,237.27,No,726,2000,"> 250,000",Female,College degree,5/9/01,No,51,Married
Theft/Vandalism,8.652,No,241,500,"< 2,500",Female,Did not complete high school,5/4/04,No,80,Married
Theft/Vandalism,12.109,No,305,1000,"50,000-249,999",Female,Some college,4/1/03,No,43,Unmarried
Fire/Smoke,70.0581,Yes,176,1000,"10,000-49,999",Female,High school degree,7/17/00,No,75,Married
Wind/Hail,37.647,No,1016,3000,"50,000-249,999",Female,Post-undergraduate degree,11/22/08,No,51,Married
Fire/Smoke,102.922,No,257,1000,"10,000-49,999",Male,High school degree,11/6/02,No,31,Married
Theft/Vandalism,17.378,No,387,1000,"10,000-49,999",Female,College degree,3/4/06,No,41,Unmarried
Theft/Vandalism,3.735,No,71,1000,"10,000-49,999",Male,Post-undergraduate degree,11/30/04,No,67,Married
Fire/Smoke,677,No,677,1000,"2,500-9,999",Male,Some college,7/17/91,No,144,Married
Water damage,48.901,No,490,2000,"2,500-9,999",Male,High school degree,3/13/03,No,32,Married
Contamination,141,No,141,1000,"10,000-49,999",Male,Did not complete high school,2/15/07,No,20,Unmarried
Theft/Vandalism,6.188,No,150,1000,"< 2,500",Female,Some college,7/29/02,No,31,Unmarried
Wind/Hail,184.382,No,1128,1000,"2,500-9,999",Male,Some college,1/20/87,No,155,Married
Theft/Vandalism,10.294,No,172,2000,"50,000-249,999",Male,Some college,1/15/81,Yes,17,Married
Fire/Smoke,128.014,No,289,3000,"50,000-249,999",Female,Post-undergraduate degree,7/26/07,No,63,Married
Fire/Smoke,51.045,No,123,3000,"< 2,500",Male,High school degree,10/11/94,No,37,Married
Wind/Hail,7.055,No,244,1000,"> 250,000",Female,College degree,2/3/85,No,87,Unmarried
Contamination,194,No,194,1000,"> 250,000",Male,College degree,2/13/87,Yes,74,Married
Contamination,35.607,No,77,1000,"10,000-49,999",Female,Did not complete high school,12/22/82,Yes,16,Unmarried
Theft/Vandalism,30.313,No,567,1000,"> 250,000",Male,High school degree,4/10/99,No,28,Married
Wind/Hail,12.108,No,326,3000,"2,500-9,999",Male,Some college,11/16/02,No,58,Unmarried
Fire/Smoke,107,No,107,1000,"> 250,000",Male,Did not complete high school,6/14/04,No,23,Unmarried
Wind/Hail,53.084,No,383,3000,"> 250,000",Male,Post-undergraduate degree,12/6/99,No,42,Married
Water damage,19.371,No,181,1000,"< 2,500",Male,Did not complete high school,3/17/99,No,34,Married
Wind/Hail,10.332,No,350,1000,"> 250,000",Male,High school degree,4/18/88,No,148,Unmarried
Fire/Smoke,116,No,116,1000,"> 250,000",Female,Some college,6/17/01,No,44,Married
Water damage,10.18,No,120,1000,"> 250,000",Female,High school degree,10/24/07,No,78,Unmarried
Wind/Hail,5.332,No,77,1000,"50,000-249,999",Male,College degree,8/16/06,No,37,Unmarried
Theft/Vandalism,10.8003,Yes,118,2000,"2,500-9,999",Male,Some college,7/28/80,No,328,Married
Wind/Hail,4.869,No,170,2000,"50,000-249,999",Female,High school degree,11/4/05,No,30,Unmarried
Theft/Vandalism,16.417,No,281,2000,"< 2,500",Female,Some college,6/30/05,No,67,Married
Wind/Hail,29.876,No,732,2000,"10,000-49,999",Male,Some college,2/16/04,No,72,Married
Wind/Hail,4.92,No,151,500,"50,000-249,999",Female,College degree,1/3/82,No,105,Unmarried
Wind/Hail,76.837,No,1701,3000,"< 2,500",Female,College degree,12/4/92,No,235,Married
Fire/Smoke,348,No,348,1000,"> 250,000",Male,College degree,12/20/06,No,110,Unmarried
Wind/Hail,25.21,No,465,3000,"10,000-49,999",Male,Some college,1/20/95,No,112,Married
Theft/Vandalism,8.522,No,137,1000,"10,000-49,999",Male,Did not complete high school,12/9/04,Yes,9,Married
Wind/Hail,4.221,No,82,3000,"50,000-249,999",Male,Some college,7/13/89,Yes,10,Married
Fire/Smoke,67,No,67,500,"50,000-249,999",Male,College degree,3/12/97,Yes,16,Unmarried
Theft/Vandalism,10.168,No,254,3000,"> 250,000",Male,High school degree,1/13/89,No,61,Married
Theft/Vandalism,12.765,No,197,1000,"> 250,000",Female,College degree,4/15/91,No,133,Married
Theft/Vandalism,5.71305,Yes,100,1000,"10,000-49,999",Female,Post-undergraduate degree,5/11/97,No,58,Married
Wind/Hail,2.436,No,64,2000,"2,500-9,999",Male,Did not complete high school,1/9/77,Yes,21,Married
Wind/Hail,4.873,No,129,1000,"10,000-49,999",Male,High school degree,12/11/96,No,45,Unmarried
Contamination,46.302,No,126,2000,"50,000-249,999",Female,College degree,4/1/08,No,55,Married
Wind/Hail,13.494,No,328,2000,"2,500-9,999",Male,Did not complete high school,6/21/86,No,107,Unmarried
Contamination,109,No,109,3000,"< 2,500",Female,Some college,3/11/07,No,23,Unmarried
Water damage,10.29,No,117,2000,"50,000-249,999",Female,Some college,11/25/87,No,65,Married
Theft/Vandalism,3.3222,Yes,63,500,"10,000-49,999",Male,College degree,5/17/08,No,24,Unmarried
Water damage,62.893,No,649,3000,"10,000-49,999",Male,Some college,8/19/98,No,38,Unmarried
Water damage,6.846,No,112,2000,"< 2,500",Female,High school degree,8/22/96,No,52,Married
Fire/Smoke,255.242,No,653,3000,"50,000-249,999",Male,Some college,4/26/99,No,148,Unmarried
Theft/Vandalism,2.051,No,73,3000,"50,000-249,999",Male,College degree,10/31/06,No,22,Unmarried
Wind/Hail,50.564,No,1170,3000,"50,000-249,999",Female,Some college,10/3/04,No,86,Married
Theft/Vandalism,8.291,No,153,1000,"> 250,000",Female,High school degree,5/27/02,No,46,Unmarried
Theft/Vandalism,19.631,No,324,3000,"2,500-9,999",Male,High school degree,10/25/00,No,43,Married
Contamination,72.345,No,176,1000,"< 2,500",Female,High school degree,5/12/99,No,38,Married
Theft/Vandalism,12.7092,Yes,213,1000,"> 250,000",Female,High school degree,9/9/08,No,34,Married
Theft/Vandalism,57.768,No,1085,3000,"2,500-9,999",Female,Some college,10/12/75,No,190,Unmarried
Wind/Hail,3.091,No,77,500,"10,000-49,999",Female,College degree,5/27/08,No,29,Unmarried
Water damage,19.574,No,180,2000,"> 250,000",Female,College degree,1/21/92,No,125,Married
Theft/Vandalism,5.894,No,190,2000,"50,000-249,999",Male,High school degree,6/29/84,No,100,Married
Fire/Smoke,270,No,270,1000,"2,500-9,999",Male,Did not complete high school,4/15/06,No,18,Unmarried
Theft/Vandalism,12.529,No,213,1000,"10,000-49,999",Male,High school degree,11/15/86,Yes,22,Married
Wind/Hail,2.089,No,71,500,"10,000-49,999",Male,College degree,1/31/98,No,33,Married
Fire/Smoke,25.093,No,95,1000,"50,000-249,999",Female,College degree,1/18/87,Yes,29,Unmarried
Water damage,10.133,No,116,1000,"50,000-249,999",Male,College degree,4/27/08,No,37,Married
Water damage,16.734,No,162,2000,"< 2,500",Female,High school degree,1/13/99,No,62,Married
Wind/Hail,6.845,No,135,1000,"< 2,500",Male,High school degree,3/23/94,No,210,Married
Wind/Hail,13.975,No,430,2000,"2,500-9,999",Female,High school degree,8/18/99,No,97,Unmarried
Theft/Vandalism,11.277,Yes,179,1000,"< 2,500",Male,College degree,9/15/03,No,71,Married
Water damage,30.19,No,344,1000,"50,000-249,999",Female,Some college,3/23/87,No,206,Unmarried
Theft/Vandalism,19.814,No,327,2000,"50,000-249,999",Male,High school degree,5/19/98,No,55,Married
Fire/Smoke,66.524,No,153,500,"< 2,500",Male,High school degree,9/28/08,No,23,Married
Theft/Vandalism,6.745,No,155,3000,"50,000-249,999",Female,High school degree,11/15/08,No,35,Married
Wind/Hail,8.8914,Yes,161,1000,"50,000-249,999",Male,Some college,1/5/00,No,83,Married
Water damage,2.465,No,73,500,"50,000-249,999",Male,High school degree,2/18/06,No,24,Married
Fire/Smoke,118,No,118,1000,"50,000-249,999",Male,Some college,3/23/08,No,16,Married
Fire/Smoke,51.758,No,143,1000,"10,000-49,999",Male,Post-undergraduate degree,1/2/07,No,65,Unmarried
Wind/Hail,19.06485,Yes,441,3000,"50,000-249,999",Female,College degree,12/12/88,No,228,Unmarried
Wind/Hail,9.984,No,157,500,"50,000-249,999",Male,Did not complete high school,9/30/97,No,47,Married
Wind/Hail,33.578,No,768,1000,"> 250,000",Female,Some college,1/14/93,No,183,Married
Fire/Smoke,243,No,243,1000,"50,000-249,999",Female,High school degree,10/19/96,No,56,Married
Contamination,687.597,No,1748,3000,"> 250,000",Female,Some college,11/21/87,No,91,Married
Theft/Vandalism,20.35,No,267,1000,"2,500-9,999",Female,College degree,1/18/99,No,50,Married
Contamination,31.466,No,71,2000,"> 250,000",Female,High school degree,9/12/94,No,39,Married
Contamination,48.035,No,105,3000,"10,000-49,999",Female,Did not complete high school,5/22/03,No,28,Married
Wind/Hail,14.898,No,332,2000,"> 250,000",Female,Post-undergraduate degree,8/2/06,No,132,Married
Wind/Hail,14.919,No,95,1000,"< 2,500",Male,College degree,12/20/94,Yes,23,Married
Theft/Vandalism,33.614,No,693,3000,"10,000-49,999",Male,Did not complete high school,11/9/86,No,103,Unmarried
Theft/Vandalism,41.414,No,319,3000,"10,000-49,999",Female,College degree,5/13/85,Yes,55,Unmarried
Water damage,38.781,No,126,500,"10,000-49,999",Female,Some college,10/22/95,No,57,Married
Theft/Vandalism,5.738,No,122,2000,"> 250,000",Female,Did not complete high school,3/8/06,No,20,Unmarried
Contamination,72.707,No,180,1000,"50,000-249,999",Female,Did not complete high school,8/3/00,No,50,Married
Theft/Vandalism,7.895,No,72,1000,"> 250,000",Female,High school degree,12/13/06,No,29,Married
Wind/Hail,3.418,No,192,1000,"10,000-49,999",Male,High school degree,11/12/08,No,16,Married
Water damage,26.023,No,76,1000,"10,000-49,999",Female,Some college,12/7/96,Yes,13,Unmarried
Theft/Vandalism,28.194,No,525,3000,"50,000-249,999",Male,Did not complete high school,8/11/05,No,33,Married
Contamination,167,No,167,1000,"10,000-49,999",Female,College degree,2/24/02,No,93,Married
Theft/Vandalism,16.245,No,237,1000,"50,000-249,999",Male,Post-undergraduate degree,11/4/97,No,76,Married
Water damage,42.676,No,451,2000,"> 250,000",Female,Some college,11/13/63,No,227,Married
Contamination,164.176,No,375,2000,"< 2,500",Male,Did not complete high school,1/23/85,No,75,Married
Fire/Smoke,487.799,No,1258,3000,"2,500-9,999",Male,Some college,6/8/96,No,61,Married
Wind/Hail,3.566,No,129,2000,"50,000-249,999",Male,Post-undergraduate degree,10/18/05,No,32,Unmarried
Contamination,111,No,111,500,"> 250,000",Female,High school degree,10/13/05,Yes,13,Unmarried
Fire/Smoke,34.692,No,97,1000,"50,000-249,999",Female,College degree,10/27/99,No,99,Unmarried
Theft/Vandalism,13.026,No,286,3000,"50,000-249,999",Female,High school degree,6/9/86,No,73,Unmarried
Contamination,31.334,No,94,3000,"10,000-49,999",Female,Did not complete high school,5/24/90,No,111,Married
Water damage,30.778,No,287,1000,"10,000-49,999",Male,High school degree,5/11/00,No,39,Married
Wind/Hail,10.159,No,88,1000,"> 250,000",Female,College degree,1/26/06,No,46,Married
Fire/Smoke,80,No,80,500,"50,000-249,999",Female,Some college,4/16/05,No,40,Unmarried
Theft/Vandalism,9.26835,Yes,203,3000,"> 250,000",Female,Post-undergraduate degree,11/30/85,Yes,40,Unmarried
Fire/Smoke,420,Yes,420,1000,"10,000-49,999",Female,Some college,5/20/94,No,44,Unmarried
Theft/Vandalism,3.885,No,61,500,"> 250,000",Female,Did not complete high school,1/20/82,No,69,Unmarried
Wind/Hail,12.921,No,213,3000,"10,000-49,999",Female,High school degree,3/13/97,No,26,Unmarried
Fire/Smoke,30.37,No,72,500,"50,000-249,999",Female,Some college,5/31/08,No,15,Married
Theft/Vandalism,4.015,No,55,1000,"> 250,000",Female,Did not complete high school,9/16/73,Yes,11,Unmarried
Water damage,103.167,No,334,1000,"50,000-249,999",Female,Some college,1/6/02,No,77,Unmarried
Wind/Hail,14.157,No,164,1000,"10,000-49,999",Male,High school degree,5/12/07,No,43,Unmarried
Theft/Vandalism,10.882,No,163,1000,"< 2,500",Female,Did not complete high school,9/6/94,No,57,Unmarried
Fire/Smoke,80.21,No,154,1000,"< 2,500",Female,High school degree,2/6/00,No,49,Unmarried
Water damage,16.385,No,162,1000,"2,500-9,999",Female,Did not complete high school,1/28/02,No,31,Married
Contamination,110,No,110,1000,"2,500-9,999",Female,High school degree,9/22/08,No,16,Unmarried
Fire/Smoke,16.693,No,62,1000,"> 250,000",Male,Post-undergraduate degree,2/2/91,Yes,10,Unmarried
Contamination,231,No,231,1000,"2,500-9,999",Female,High school degree,11/12/05,No,60,Unmarried
Theft/Vandalism,4.7082,Yes,86,500,"50,000-249,999",Female,College degree,5/13/02,No,36,Unmarried
Water damage,6.266,No,72,1000,"< 2,500",Female,High school degree,2/15/01,No,24,Unmarried
Water damage,4.476,No,108,2000,"10,000-49,999",Male,High school degree,12/15/05,No,51,Unmarried
Wind/Hail,14.85,No,279,2000,"50,000-249,999",Female,High school degree,1/30/00,No,78,Married
Wind/Hail,21.755,No,425,2000,"10,000-49,999",Male,Did not complete high school,8/16/82,No,65,Unmarried
Wind/Hail,30.312,No,526,2000,"< 2,500",Female,High school degree,7/10/05,No,53,Unmarried
Theft/Vandalism,81.4,No,1671,3000,"> 250,000",Male,Some college,4/23/77,No,181,Married
Wind/Hail,4.155,No,79,1000,"10,000-49,999",Female,High school degree,2/10/00,No,61,Unmarried
Theft/Vandalism,15.787,No,130,500,"2,500-9,999",Male,Did not complete high school,12/16/91,No,50,Married
Fire/Smoke,52.977,No,160,500,"50,000-249,999",Male,High school degree,8/24/08,No,27,Married
Fire/Smoke,47.678,No,85,1000,"50,000-249,999",Male,High school degree,5/1/96,No,84,Married
Wind/Hail,2.217,No,99,1000,"10,000-49,999",Female,Post-undergraduate degree,5/8/03,Yes,43,Married
Theft/Vandalism,23.436,No,315,1000,"> 250,000",Male,College degree,9/25/98,No,101,Unmarried
Wind/Hail,18.275,No,383,3000,"10,000-49,999",Female,High school degree,5/9/05,No,39,Married
Theft/Vandalism,19.533,No,144,3000,"> 250,000",Female,Some college,9/15/98,No,26,Married
Theft/Vandalism,2.399,No,86,1000,"< 2,500",Male,Some college,12/18/99,No,37,Married
Fire/Smoke,347,No,347,3000,"2,500-9,999",Male,Did not complete high school,1/28/05,No,23,Married
Contamination,37.205,No,132,1000,"> 250,000",Male,Post-undergraduate degree,1/21/86,Yes,12,Married
Water damage,11.115,No,64,500,"2,500-9,999",Male,Did not complete high school,12/9/93,No,41,Unmarried
Wind/Hail,12.931,No,333,1000,"50,000-249,999",Male,Did not complete high school,1/25/05,No,36,Married
Theft/Vandalism,9.866,No,62,500,"50,000-249,999",Male,High school degree,1/17/04,Yes,10,Married
Theft/Vandalism,22.885,No,475,2000,"10,000-49,999",Male,High school degree,7/3/08,No,45,Married
Wind/Hail,57.513,No,1015,3000,"> 250,000",Female,College degree,3/30/08,No,54,Married
Fire/Smoke,56.827,No,126,3000,"10,000-49,999",Male,Some college,8/27/98,No,100,Unmarried
Contamination,71,No,71,3000,"> 250,000",Male,College degree,4/4/08,No,20,Married
Wind/Hail,10.229,No,195,1000,"10,000-49,999",Female,College degree,7/4/02,No,72,Unmarried
Wind/Hail,42.039,No,962,3000,"> 250,000",Male,High school degree,5/22/01,No,60,Married
Fire/Smoke,479.742,No,1176,3000,"2,500-9,999",Male,High school degree,10/14/91,No,101,Married
Contamination,391.803,No,969,3000,"50,000-249,999",Male,High school degree,10/12/98,No,104,Married
Theft/Vandalism,9.903,No,142,2000,"> 250,000",Female,College degree,7/4/00,No,33,Married
Fire/Smoke,74.03,No,218,1000,"10,000-49,999",Female,High school degree,6/22/93,No,100,Unmarried
Fire/Smoke,149,No,149,3000,"> 250,000",Male,High school degree,1/10/91,No,133,Unmarried
Fire/Smoke,42.745,No,94,1000,"< 2,500",Female,Post-undergraduate degree,1/12/08,No,25,Married
Wind/Hail,14.145,No,354,3000,"10,000-49,999",Female,High school degree,5/16/90,No,69,Married
Theft/Vandalism,26.928,No,449,1000,"> 250,000",Female,High school degree,2/29/08,No,47,Unmarried
Fire/Smoke,133,No,133,2000,"2,500-9,999",Female,High school degree,7/9/90,No,51,Unmarried
Fire/Smoke,40.412,No,111,500,"10,000-49,999",Male,High school degree,12/21/06,No,47,Married
Wind/Hail,8.888,No,167,1000,"50,000-249,999",Male,College degree,12/11/08,No,38,Married
Theft/Vandalism,6.859,No,108,1000,"50,000-249,999",Female,Some college,5/9/04,No,142,Unmarried
Water damage,16.262,No,93,1000,"2,500-9,999",Male,Some college,11/1/03,No,80,Married
Water damage,11.223,No,129,1000,"50,000-249,999",Female,Did not complete high school,8/29/68,Yes,46,Unmarried
Theft/Vandalism,38.365,No,247,3000,"> 250,000",Female,High school degree,4/24/07,No,26,Unmarried
Fire/Smoke,210.52,No,505,1000,"50,000-249,999",Female,High school degree,5/21/84,No,127,Married
Theft/Vandalism,70.667,No,1294,3000,"2,500-9,999",Female,College degree,5/29/89,No,70,Married
Fire/Smoke,23.54,No,76,3000,"< 2,500",Female,College degree,2/26/08,No,31,Married
Theft/Vandalism,20.651,No,415,3000,"2,500-9,999",Male,Did not complete high school,6/22/80,No,223,Unmarried
Wind/Hail,50.328,No,301,3000,"50,000-249,999",Male,Did not complete high school,12/30/95,No,43,Married
Theft/Vandalism,34.514,No,596,2000,"2,500-9,999",Male,High school degree,1/9/91,No,192,Married
Water damage,37.381,No,336,2000,"> 250,000",Male,College degree,10/6/99,No,42,Married
Wind/Hail,24.45135,Yes,363,3000,"> 250,000",Female,Some college,8/19/07,No,65,Married
Wind/Hail,20.922,No,422,2000,"> 250,000",Male,Post-undergraduate degree,3/2/01,No,291,Married
Water damage,18.217,No,64,200,"> 250,000",Male,College degree,6/10/01,Yes,11,Unmarried
Fire/Smoke,484.21,No,1143,3000,"10,000-49,999",Male,College degree,9/20/00,No,141,Unmarried
Fire/Smoke,292.155,No,661,1000,"> 250,000",Male,Post-undergraduate degree,7/16/02,No,182,Unmarried
Water damage,11.457,No,105,3000,"< 2,500",Female,Did not complete high school,2/5/05,No,26,Married
Contamination,130.257,No,314,3000,"> 250,000",Female,Some college,9/23/99,No,62,Unmarried
Water damage,13.809,No,117,1000,"50,000-249,999",Female,Some college,1/25/00,No,63,Married
Wind/Hail,33.282,No,624,1000,"2,500-9,999",Female,High school degree,4/20/02,No,42,Unmarried
Fire/Smoke,263,No,263,1000,"50,000-249,999",Female,High school degree,10/22/03,No,85,Married
Theft/Vandalism,29.166,No,681,2000,"2,500-9,999",Male,Did not complete high school,3/12/87,No,56,Married
Fire/Smoke,59.50455,Yes,131,3000,"> 250,000",Male,Some college,9/15/69,Yes,44,Unmarried
Theft/Vandalism,8.864,No,130,1000,"< 2,500",Female,Did not complete high school,5/14/04,No,27,Married
Wind/Hail,8.607,No,195,2000,"10,000-49,999",Male,College degree,7/15/78,Yes,34,Married
Contamination,134.046,No,321,3000,"10,000-49,999",Male,Did not complete high school,4/3/85,No,61,Unmarried
Theft/Vandalism,80.319,No,1398,3000,"> 250,000",Male,Some college,2/17/05,No,84,Married
Wind/Hail,8.333,No,169,500,"< 2,500",Female,Some college,6/10/08,No,21,Unmarried
Water damage,20.436,No,187,3000,"> 250,000",Female,Did not complete high school,6/4/86,Yes,36,Married
Fire/Smoke,44.205,No,143,1000,"> 250,000",Male,Did not complete high school,7/20/86,Yes,26,Married
Theft/Vandalism,7.711,No,274,3000,"> 250,000",Female,Some college,5/17/08,No,32,Unmarried
Fire/Smoke,87.867,No,235,3000,"10,000-49,999",Male,College degree,8/17/00,Yes,10,Married
Wind/Hail,4.441,No,85,1000,"> 250,000",Female,Some college,11/29/06,No,24,Married
Fire/Smoke,98.529,No,237,1000,"> 250,000",Male,Post-undergraduate degree,12/25/06,No,48,Married
Wind/Hail,3.532,No,93,3000,"> 250,000",Female,High school degree,8/2/89,No,42,Unmarried
Fire/Smoke,207,No,207,3000,"< 2,500",Male,College degree,1/23/02,No,54,Unmarried
Wind/Hail,6.145,No,143,1000,"2,500-9,999",Male,College degree,3/16/05,No,40,Unmarried
Theft/Vandalism,6.70215,Yes,91,3000,"2,500-9,999",Male,Some college,6/7/01,Yes,21,Married
Water damage,21.627,No,173,1000,"50,000-249,999",Female,Some college,4/20/08,No,25,Married
